City:  Lakewood
{'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:57 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:57 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:58 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:58 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:58 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:58 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:58 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:59 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:59 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:59 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:59 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:59 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  01:59 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:00 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:00 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:00 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:00 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:00 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:00 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:01 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:01 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:01 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:01 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:01 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:01 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:02 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
TIME ->  02:02 	Date ->  2023-12-23 	Prayer time -> {'imsak': '05:42', 'fajr': '05:52', 'sunrise': '07:19', 'dhuhr': '11:59', 'asr': '14:23', 'sunset': '16:40', 'maghrib': '16:45', 'isha': '17:56', 'midnight': '23:16'}
